                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1258,                 2.1089,                 1.1023,                0.78065,                 0.8327,                0.86309,                0.76132,                0.51606,                 1.1689,                0.84575,             0.00033086,             0.00033086,             0.00033086
                      2,                 1.0677,                 1.0404,                 1.0799,                0.86194,                0.90633,                0.97027,                0.87378,                0.46369,                0.67395,                0.85547,              0.0006548,              0.0006548,              0.0006548
                      3,                 1.0467,                0.91665,                 1.0857,                0.92039,                0.93002,                0.97016,                0.87216,                0.46837,                0.57483,                0.85276,             0.00096931,             0.00096931,             0.00096931
                      4,                 1.0253,                0.82676,                 1.0775,                0.92795,                0.95443,                0.96217,                0.85914,                0.48935,                0.53611,                0.87137,             0.00095757,             0.00095757,             0.00095757
                      5,                 1.0195,                0.75681,                 1.0772,                0.95179,                0.95987,                0.97861,                0.87512,                0.49093,                0.45255,                0.86328,             0.00094343,             0.00094343,             0.00094343
                      6,                  1.019,                0.73405,                 1.0732,                0.94732,                0.95921,                0.97945,                 0.8828,                0.50141,                0.44967,                0.86543,             0.00092929,             0.00092929,             0.00092929
                      7,                0.98158,                0.64448,                 1.0641,                0.93608,                0.94661,                0.97043,                0.88363,                0.44249,                0.45543,                0.85424,             0.00091514,             0.00091514,             0.00091514
                      8,                0.98888,                0.64584,                 1.0646,                0.96241,                0.96422,                0.98299,                0.91178,                0.40969,                0.38801,                0.85256,               0.000901,               0.000901,               0.000901
                      9,                0.97896,                 0.6226,                 1.0652,                0.96466,                0.96408,                0.98512,                0.91652,                0.41481,                0.40238,                0.84426,             0.00088686,             0.00088686,             0.00088686
                     10,                0.97834,                0.59864,                 1.0639,                0.96412,                0.96852,                0.98287,                0.92009,                0.38613,                0.37335,                0.83851,             0.00087271,             0.00087271,             0.00087271
                     11,                0.97484,                0.57487,                 1.0619,                0.94604,                0.96329,                0.97701,                  0.914,                0.38634,                0.38879,                0.83449,             0.00085857,             0.00085857,             0.00085857
                     12,                0.94662,                 0.5661,                 1.0551,                0.95102,                 0.9668,                0.98093,                0.91014,                0.40043,                0.38436,                0.84175,             0.00084443,             0.00084443,             0.00084443
                     13,                0.95277,                0.56861,                 1.0545,                0.95267,                0.96353,                0.97863,                0.91895,                0.38972,                0.38076,                0.83175,             0.00083029,             0.00083029,             0.00083029
                     14,                0.94908,                0.55426,                 1.0544,                0.95461,                0.97446,                0.98354,                0.91308,                0.41422,                 0.3567,                0.83871,             0.00081614,             0.00081614,             0.00081614
                     15,                0.95116,                0.53548,                 1.0568,                0.96006,                  0.961,                0.98372,                0.92062,                0.38212,                0.34678,                0.83792,               0.000802,               0.000802,               0.000802
                     16,                0.94684,                 0.5383,                 1.0529,                0.96709,                0.96496,                0.98499,                0.91999,                0.40195,                 0.3573,                0.83955,             0.00078786,             0.00078786,             0.00078786
                     17,                0.94068,                0.52821,                 1.0506,                0.94833,                0.97219,                0.98386,                0.92339,                0.38977,                0.36071,                0.82689,             0.00077371,             0.00077371,             0.00077371
                     18,                0.94331,                 0.5089,                 1.0489,                0.97709,                0.95746,                0.98537,                0.92672,                 0.3733,                 0.3369,                 0.8285,             0.00075957,             0.00075957,             0.00075957
                     19,                 0.9487,                0.50974,                 1.0526,                0.96669,                0.97086,                0.98118,                0.92397,                0.38235,                0.34064,                0.82811,             0.00074543,             0.00074543,             0.00074543
                     20,                0.93513,                0.49921,                 1.0464,                0.95152,                0.96771,                0.98083,                0.93042,                0.36161,                0.34169,                0.82261,             0.00073129,             0.00073129,             0.00073129
                     21,                0.94412,                0.49558,                 1.0503,                0.97282,                0.96314,                 0.9863,                0.93608,                0.36449,                0.31542,                0.82957,             0.00071714,             0.00071714,             0.00071714
                     22,                0.93485,                0.50244,                 1.0457,                 0.9687,                0.96717,                0.98702,                0.93255,                0.37675,                0.33459,                0.82574,               0.000703,               0.000703,               0.000703
                     23,                0.90477,                0.48754,                 1.0359,                0.96952,                0.96416,                0.98675,                0.91888,                0.39748,                0.32871,                0.84263,             0.00068886,             0.00068886,             0.00068886
                     24,                0.93232,                 0.4949,                 1.0508,                0.96279,                0.96709,                0.98095,                0.92706,                0.35598,                0.31559,                0.81758,             0.00067471,             0.00067471,             0.00067471
                     25,                0.91205,                0.48158,                 1.0391,                0.96955,                0.96052,                0.98193,                0.93376,                0.36205,                0.34282,                0.82399,             0.00066057,             0.00066057,             0.00066057
                     26,                0.90694,                0.46428,                 1.0342,                0.96599,                  0.965,                0.98347,                0.92317,                0.38797,                0.32476,                 0.8304,             0.00064643,             0.00064643,             0.00064643
                     27,                0.90531,                 0.4695,                  1.037,                0.97038,                 0.9668,                0.98715,                0.92981,                0.37413,                0.30859,                0.82737,             0.00063229,             0.00063229,             0.00063229
                     28,                0.91808,                0.46436,                 1.0393,                0.97028,                0.96711,                 0.9849,                0.92315,                0.39259,                0.32461,                0.82204,             0.00061814,             0.00061814,             0.00061814
                     29,                0.91244,                0.46136,                 1.0407,                0.97529,                0.96968,                0.98618,                0.93694,                0.36068,                0.30912,                 0.8244,               0.000604,               0.000604,               0.000604
                     30,                0.90503,                0.45878,                 1.0348,                0.96466,                0.96951,                0.98139,                 0.9232,                0.37569,                 0.3172,                0.82575,             0.00058986,             0.00058986,             0.00058986
                     31,                0.88808,                 0.4487,                 1.0287,                0.97014,                0.97019,                0.98375,                0.93428,                0.35666,                0.30244,                0.82091,             0.00057571,             0.00057571,             0.00057571
                     32,                0.88197,                0.44445,                 1.0243,                0.97388,                0.96606,                 0.9861,                0.93526,                0.35922,                0.29433,                0.82143,             0.00056157,             0.00056157,             0.00056157
